frame,gid,cls,x_m,y_m,conf,speed_ms,cam,time_s,zone
18002,1,player_home,37.69,58.24,0.936,0.29,?,0.06673333209710568,Zona media
18002,2,player_home,45.32,54.07,0.914,1.03,?,0.06673333209710568,Zona media
18002,3,player_away,36.76,48.2,0.851,0.62,?,0.06673333209710568,Zona media
18002,4,player_home,43.62,31.45,0.856,0.3,?,0.06673333209710568,Zona media
18002,5,player_home,49.08,41.47,0.855,0.08,?,0.06673333209710568,Zona media
18002,6,player_home,35.61,44.77,0.636,1.39,?,0.06673333209710568,Zona media
18002,7,player_away,21.82,55.72,0.82,7.59,?,0.06673333209710568,Zona defensiva
18002,8,player_away,25.38,51.85,0.838,1.77,?,0.06673333209710568,Zona defensiva
18002,9,player_home,23.97,47.82,0.69,3.92,?,0.06673333209710568,Zona defensiva
18002,10,player_home,25.41,55.77,0.783,1.93,?,0.06673333209710568,Zona defensiva
18002,11,player_home,20.88,60.48,0.82,1.51,?,0.06673333209710568,Zona defensiva
18002,12,referee,29.79,49.33,0.848,2.48,?,0.06673333209710568,Zona defensiva
18002,13,player_away,19.7,26.08,0.692,2.43,?,0.06673333209710568,Zona defensiva
18002,14,player_away,17.05,37.57,0.672,0.87,?,0.06673333209710568,Zona defensiva
18002,15,player_away,16.85,46.9,0.657,7.11,?,0.06673333209710568,Zona defensiva
18002,16,player_away,31.52,33.66,0.727,1.11,?,0.06673333209710568,Zona defensiva
18003,1,player_home,37.69,58.23,0.936,0.22,?,0.10009999814565852,Zona media
18003,2,player_home,45.28,54.0,0.93,1.87,?,0.10009999814565852,Zona media
18003,3,player_away,36.73,48.19,0.855,0.74,?,0.10009999814565852,Zona media
18003,4,player_home,43.61,31.46,0.843,0.48,?,0.10009999814565852,Zona media
18003,5,player_home,49.09,41.5,0.858,0.53,?,0.10009999814565852,Zona media
18003,6,player_home,35.57,44.8,0.739,1.27,?,0.10009999814565852,Zona media
18003,7,player_away,21.48,55.6,0.801,9.83,?,0.10009999814565852,Zona defensiva
18003,8,player_away,23.33,51.65,0.793,42.0,?,0.10009999814565852,Zona defensiva
18003,9,player_home,23.75,47.58,0.652,7.95,?,0.10009999814565852,Zona defensiva
18003,10,player_home,25.3,55.63,0.69,4.08,?,0.10009999814565852,Zona defensiva
18003,11,player_home,20.93,60.56,0.846,1.78,?,0.10009999814565852,Zona defensiva
18003,12,referee,29.66,49.28,0.848,3.61,?,0.10009999814565852,Zona defensiva
18003,13,player_away,19.76,26.19,0.704,3.35,?,0.10009999814565852,Zona defensiva
18003,14,player_away,17.11,37.63,0.692,1.97,?,0.10009999814565852,Zona defensiva
18003,15,player_away,16.76,46.85,0.658,0.37,?,0.10009999814565852,Zona defensiva
18003,16,player_away,31.6,33.86,0.757,4.22,?,0.10009999814565852,Zona defensiva
18004,1,player_home,37.69,58.22,0.936,0.24,?,0.13346666419421135,Zona media
18004,2,player_home,45.25,53.95,0.932,1.89,?,0.13346666419421135,Zona media
18004,3,player_away,36.71,48.19,0.852,0.59,?,0.13346666419421135,Zona media
18004,4,player_home,43.59,31.49,0.83,0.77,?,0.13346666419421135,Zona media
18004,5,player_home,49.08,41.47,0.858,0.45,?,0.13346666419421135,Zona media
18004,6,player_home,35.53,44.83,0.819,1.3,?,0.13346666419421135,Zona media
18004,7,player_away,21.23,55.59,0.735,8.2,?,0.13346666419421135,Zona defensiva
18004,8,player_away,22.65,51.57,0.763,27.74,?,0.13346666419421135,Zona defensiva
18004,9,player_home,23.57,47.4,0.68,7.72,?,0.13346666419421135,Zona defensiva
18004,10,player_home,25.41,55.42,0.642,5.49,?,0.13346666419421135,Zona defensiva
18004,11,player_home,20.89,60.6,0.782,1.59,?,0.13346666419421135,Zona defensiva
18004,12,referee,29.62,49.34,0.837,2.05,?,0.13346666419421135,Zona defensiva
18004,13,player_away,19.76,26.21,0.695,1.47,?,0.13346666419421135,Zona defensiva
18004,14,player_away,17.21,37.76,0.692,4.0,?,0.13346666419421135,Zona defensiva
18004,15,player_away,16.28,46.56,0.635,11.17,?,0.13346666419421135,Zona defensiva
